"","Molecular.Formula","Theor_mz","DBE","HC","OC","NC","C","H","N","O","S","AI","AImod","NOSC","Count","Compound.category","Class","D1","D2","D3","D4","D5","D6","D7","D8","D9","E1","E2","E3","E4","E5","E6","E7","E8","E9","F1","F2","F3","F4","F5","F6","F7","F8","F9","G1","G2","G3","G4","G5","G6","G7","G8","G9","H1","H2","H3","H4","H5","H6","H7","H8","H9","I1","I2","I3"
"201","C12H22O4N0S0",229.144533,2,1.83333333333,0.333333333333,0,12,22,0,4,0,0,0,-1.16666666666667,6,"Aliphatic_LowOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","C12H22O5N0S0",245.139447,2,1.83333333333,0.416666666667,0,12,22,0,5,0,0,0,-1,1,"Aliphatic_LowOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203","C12H22O6N0S0",261.134362,2,1.83333333333,0.5,0,12,22,0,6,0,0,0,-0.833333333333333,14,"Aliphatic_HighOC","CHO",0,0,0,0,0,0.360996752237187,0.309775585333377,0,0.625252165270345,0,0.434984021637055,0,0,0,0.628130315403709,0,0,0,0,0,0,0,0,0,0,0.530630123857354,0,0,0,0,0,0,0,0,0.74557542181131,0,0,0,0,0,0,0,0,0,0,0,0,0
"204","C12H6O5N0S0",229.014247,10,0.5,0.416666666667,0,12,6,0,5,0,0.714285714285714,0.789473684210526,0.333333333333333,1,"Condensed_aromatics","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205","C12H6O6N0S0",245.009161,10,0.5,0.5,0,12,6,0,6,0,0.666666666666667,0.777777777777778,0.5,1,"Condensed_aromatics","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206","C12H6O7N0S0",261.004076,10,0.5,0.583333333333,0,12,6,0,7,0,0.6,0.764705882352941,0.666666666666667,1,"Condensed_aromatics","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207","C12H6O8N0S0",276.998991,10,0.5,0.666666666667,0,12,6,0,8,0,0.5,0.75,0.833333333333333,2,"Condensed_aromatics","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","C12H8O4N0S0",215.034982,9,0.666666666667,0.333333333333,0,12,8,0,4,0,0.625,0.7,0,11,"Condensed_aromatics","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209","C12H8O5N0S0",231.029897,9,0.666666666667,0.416666666667,0,12,8,0,5,0,0.571428571428571,0.684210526315789,0.166666666666667,23,"Condensed_aromatics","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421163132955701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210","C12H8O6N0S0",247.024811,9,0.666666666667,0.5,0,12,8,0,6,0,0.5,0.666666666666667,0.333333333333333,38,"Condensed_aromatics","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339204135177564,0,0,0,0.322480590829111,0.346246881808937,0,0,0,0,0,0,0,0,0.313568812186395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211","C12H8O7N0S0",263.019726,9,0.666666666667,0.583333333333,0,12,8,0,7,0,0.4,0.647058823529412,0.5,34,"Polyphenolic_HighOC","CHO",0,0,0,0,0.30766195613628,0,0,0,0,0.342059182701775,0,0,0,0,0,0,0,0.31656137642235,0.320617859525479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","C12H8O8N0S0",279.014641,9,0.666666666667,0.666666666667,0,12,8,0,8,0,0.25,0.625,0.666666666666667,37,"Polyphenolic_HighOC","CHO",0,0.361249487854199,0,0,0,0,0.344884707324024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329624277873868,0,0,0,0,0.317415284964424,0,0,0,0,0,0,0.310381568228658,0,0,0,0,0,0,0,0,0,0,0.307694909119812,0,0,0,0
"213","C12H8O9N0S0",295.009555,9,0.666666666667,0.75,0,12,8,0,9,0,0,0.6,0.833333333333333,14,"Polyphenolic_HighOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214","C12H9O10N1S0",326.015369,9,0.75,0.833333333333,0.0833333333333333,12,9,1,10,0,0,0.5,1.16666666666667,1,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215","C12H9O6N1S0",262.03571,9,0.75,0.5,0.0833333333333333,12,9,1,6,0,0.4,0.625,0.5,2,"Polyphenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216","C12H9O7N1S0",278.030625,9,0.75,0.583333333333,0.0833333333333333,12,9,1,7,0,0.25,0.6,0.666666666666667,3,"Polyphenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217","C12H9O8N1S0",294.02554,9,0.75,0.666666666667,0.0833333333333333,12,9,1,8,0,0,0.571428571428571,0.833333333333333,7,"Polyphenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218","C12H9O9N1S0",310.020454,9,0.75,0.75,0.0833333333333333,12,9,1,9,0,0,0.538461538461538,1,1,"Polyphenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
