ID;Time;Aliphatic_HighOC_no;Aliphatic_LowOC_no;Condensed_aromatics_no;Condensed_aromatics.X_no;Highly_Unsaturated_and_Phenolic_HighOC_no;Highly_Unsaturated_and_Phenolic_LowOC_no;Peptide_like_no;Polyphenolic_HighOC_no;Polyphenolic_LowOC_no;Sugars_w_X_no;Sugars_wo_X_no;Num.formula_no;Aliphatic_HighOC_percent;Aliphatic_LowOC_percent;Condensed_aromatics_percent;Condensed_aromatics.X_percent;Highly_Unsaturated_and_Phenolic_HighOC_percent;Highly_Unsaturated_and_Phenolic_LowOC_percent;Peptide_like_percent;Polyphenolic_HighOC_percent;Polyphenolic_LowOC_percent;Sugars_w_X_percent;Sugars_wo_X_percent;CHO_no;CHON_no;CHOS_no;CHO.1_no;CHO.2;CHON_percent;CHOS_percent;CHO_percent_percent;AveMass;Mass_WeightedAve;HC_WeightedAve;OC_WeightedAve;NC_WeightedAve;NOSC_WeightedAve;AImod_WeightedAve;AI_WeightedAve;Aliphatic_HighOC_percentRA;Aliphatic_LowOC_percentRA;Condensed_aromatics_percentRA;Condensed_aromatics.X_percentRA;Highly_Unsaturated_and_Phenolic_HighOC_percentRA;Highly_Unsaturated_and_Phenolic_LowOC_percentRA;Peptide_like_percentRA;Polyphenolic_HighOC_percentRA;Polyphenolic_LowOC_percentRA;Sugars_w_X_percentRA;Sugars_wo_X_percentRA;Condensed_Aromatics_percentRA;Polyphenolic_percentRA;Highly_Unsaturated_and_Phenolic_percentRA;Aliphatic_percentRA
M1;7;94;169;17;0;1326;1094;24;61;76;0;2;2863;3.28326929793922;5.90289905693329;0.593782745371987;0;46.315054139015;38.2116660845267;0.8382815228781;2.13063220398184;2.65455815578065;0;0.069856793573175;2224;570;69;2224;77.6807544533706;19.9091861683549;2.41005937827454;77.6807544533706;497.380897597276;427.547386676046;1.22729339900546;0.505069162019369;0.00563441938549183;-0.199529865870895;0.244725262852763;0.0304107855027316;1.23518942766271;2.66844111812995;0.0711097054978235;0;54.8341589353887;40.0619141343279;0.120547013198675;0.393358910916978;0.608333029251525;0;0.00694772562574924;0.0711097054978235;1.0016919401685;94.8960730697166;3.90363054579266
M4;4;120;182;14;0;1431;1222;37;52;87;0;1;3146;3.81436745073109;5.78512396694215;0.445009535918627;0;45.4863318499682;38.8429752066116;1.17609663064209;1.65289256198347;2.76541640178004;0;0.0317863954227591;2132;748;266;2132;67.7685950413223;23.7762237762238;8.45518118245391;67.7685950413223;487.851970494278;426.462918356595;1.23409540363904;0.49943774720795;0.00704867084406429;-0.211037219732523;0.24144625475795;0.0309689471199908;1.43101160001016;2.75674185717259;0.0552227509173208;0;52.7853949955913;41.8127684617046;0.205742154597259;0.322444964577258;0.625933164024426;0;0.00474005140508752;0.0552227509173208;0.948378128601684;94.5981634572959;4.18775345718274
M8;15;110;171;8;0;1388;1119;28;48;70;0;1;2943;3.73768263676521;5.81039755351682;0.271831464492015;0;47.1627590893646;38.0224260958206;0.951410125722052;1.63098878695209;2.37852531430513;0;0.0339789330615019;2073;682;188;2073;70.4383282364934;23.1736323479443;6.38803941556235;70.4383282364934;489.781934851512;426.269845803982;1.2293885568563;0.50825684668925;0.00661772792775362;-0.1912355579886;0.241279201736466;0.0282939049842712;1.33394080327497;2.57779888317793;0.0296324271313118;0;55.9166179522526;39.1662855095855;0.166041859768712;0.305047871244548;0.499151833525338;0;0.00548286003905008;0.0296324271313118;0.804199704769887;95.0829034618381;3.9117396864529
M1;90;130;204;5;0;1440;1214;34;51;75;1;1;3155;4.12044374009509;6.46592709984152;0.158478605388273;0;45.6418383518225;38.4786053882726;1.07765451664025;1.61648177496038;2.37717908082409;0.0316957210776545;0.0316957210776545;2173;741;241;2173;68.8748019017433;23.486529318542;7.63866877971474;68.8748019017433;492.931862884311;427.718208609353;1.23902441913639;0.504148838011798;0.00692584879025342;-0.207554371557793;0.236783207911709;0.0278203937791966;1.61473055605526;2.99221757773717;0.018247685158198;0;54.2930303287106;39.8629952223857;0.411686383227341;0.305017474725823;0.494263278360437;0.00367027530665049;0.00414121833278567;0.018247685158198;0.79928075308626;94.1560255510963;4.60694813379244
M3;15;105;150;6;0;1282;1051;19;47;65;0;1;2726;3.85179750550257;5.50256786500367;0.220102714600147;0;47.028613352898;38.5546588407924;0.696991929567131;1.72413793103448;2.38444607483492;0;0.0366837857666911;2113;490;123;2113;77.5128393250183;17.9750550256786;4.51210564930301;77.5128393250183;506.380103349963;430.106493069334;1.23027398178231;0.509389661790384;0.00522868679877616;-0.194836731896691;0.240580096248519;0.0260192518915874;1.32485372644731;2.48492361268059;0.0226579052172286;0;55.8212889442106;39.4492959578549;0.109901309931492;0.309313659176029;0.474275933651237;0;0.00348895083068128;0.0226579052172286;0.783589592827266;95.2705849020654;3.8097773391279
M8;0;104;199;17;0;1318;1179;39;51;81;0;0;2988;3.4805890227577;6.65997322623829;0.568942436412316;0;44.1097724230254;39.4578313253012;1.30522088353414;1.70682730923695;2.71084337349398;0;0;2168;696;124;2168;72.5568942436412;23.2931726907631;4.14993306559572;72.5568942436412;487.055644831325;424.669083699821;1.23230176712598;0.503046761092345;0.00695070468614777;-0.20410258854281;0.242292234742164;0.0299159290915431;1.34114235287887;2.8421607772823;0.0834289431322796;0;54.0379468648585;40.5982597240228;0.227527929163643;0.314630056036648;0.554903352624959;0;0;0.0834289431322796;0.869533408661607;94.6362065888813;4.18330313016117
M6;30;125;145;6;0;1406;1076;20;51;59;0;0;2888;4.32825484764543;5.0207756232687;0.207756232686981;0;48.6842105263158;37.2576177285319;0.692520775623269;1.76592797783934;2.04293628808864;0;0;2068;550;270;2068;71.606648199446;19.0443213296399;9.34903047091413;71.606648199446;505.662917623615;431.919120942084;1.23036862851639;0.513023558246176;0.00556152756931389;-0.184783671898952;0.237572874702753;0.0246854042490196;1.52078558729183;2.36542080390149;0.0228467252291851;0;57.2065177155778;38.0102058214454;0.101939844425255;0.329545338481043;0.442738163647909;0;0;0.0228467252291851;0.772283502128952;95.2167235370233;3.88620639119332
M8;90;83;187;6;0;1121;1052;16;50;70;0;0;2585;3.21083172147002;7.23404255319149;0.2321083172147;0;43.3655705996132;40.6963249516441;0.618955512572534;1.93423597678917;2.70793036750484;0;0;2165;420;0;2165;83.752417794971;16.247582205029;0;83.752417794971;496.977239776789;425.376922856563;1.23391860817196;0.501827077431949;0.00425692985528777;-0.217493663741897;0.242781856266137;0.0298377101787755;1.26023719671455;2.95982456851886;0.0231336403296972;0;53.9995669299227;40.8473364261726;0.0797977207692335;0.300815424310305;0.52928809326211;0;0;0.0231336403296972;0.830103517572415;94.8469033560952;4.22006176523341
M4;20;118;161;2;0;1290;1121;35;50;67;0;1;2845;4.14762741652021;5.65905096660808;0.070298769771529;0;45.3427065026362;39.402460456942;1.23022847100176;1.75746924428823;2.35500878734622;0;0.0351493848857645;1971;657;217;1971;69.2794376098418;23.0931458699473;7.6274165202109;69.2794376098418;489.518402889631;434.647298653394;1.2327674494249;0.508020866261104;0.0063497094354743;-0.19536198750266;0.237586779917504;0.0244063736228749;1.35270442411121;2.41096629760864;0.00773421829492361;0;55.0823041758725;40.2604307943704;0.184069655971979;0.27820305178558;0.420340531982657;0;0.00324685000210999;0.00773421829492361;0.698543583768237;95.3427349702429;3.76367072171985
M2;15;121;256;5;0;1319;1097;16;50;60;0;0;2924;4.13816689466484;8.75512995896033;0.170998632010944;0;45.109439124487;37.5170998632011;0.547195622435021;1.70998632010944;2.05198358413133;0;0;2214;503;207;2214;75.718194254446;17.202462380301;7.07934336525308;75.718194254446;498.802405685021;437.880609587526;1.23417002083258;0.50889090157441;0.00453563928737254;-0.200889214683712;0.236713517067769;0.0251014478776668;1.40406081659292;3.07798370129713;0.0171961823958599;0;56.3648421962356;38.3918636084275;0.0691216991663825;0.288173924227797;0.386757871656879;0;0;0.0171961823958599;0.674931795884676;94.756705804663;4.48204451789005
M5;7;121;152;3;0;1124;898;2;54;49;0;2;2405;5.03118503118503;6.32016632016632;0.124740124740125;0;46.7359667359667;37.3388773388773;0.0831600831600832;2.24532224532225;2.03742203742204;0;0.0831600831600832;2013;90;302;2013;83.7006237006237;3.74220374220374;12.5571725571726;83.7006237006237;523.729274131393;444.630255179177;1.22984426072473;0.519822567961583;0.0010139339254104;-0.184229739584318;0.234271905230162;0.0201817076557871;1.51472560950955;2.20451155359276;0.00961527075619861;0;58.8877229268302;36.7229978288127;0.00909252660256811;0.322989239376067;0.319789224647167;0;0.00855581987279341;0.00961527075619861;0.642778464023235;95.6107207556429;3.71923716310231
M1;4;121;146;15;1;1364;970;18;69;56;0;2;2762;4.38088341781318;5.28602461984069;0.54308472121651;0.0362056480811006;49.3845039826213;35.1194786386676;0.651701665459812;2.49818971759595;2.02751629254164;0;0.0724112961622013;2012;505;245;2012;72.8457639391745;18.2838522809558;8.87038377986966;72.8457639391745;509.514081731354;440.54856019256;1.22425062198964;0.524000890389194;0.00478170277002898;-0.159532348596156;0.235755751996298;0.0198615340391416;1.49245105953625;2.08619201727011;0.055122023759437;0.00337114126483535;60.4739301159546;35.0101687104785;0.0827219910615003;0.420857990196748;0.362298491965823;0;0.0128864585121274;0.0584931650242723;0.783156482162571;95.4840988264332;3.57864307680636
M4;30;93;133;7;0;1053;850;8;59;49;0;1;2253;4.12782956058589;5.90324012427874;0.310696848646249;0;46.7376830892144;37.7274744784731;0.355082112738571;2.61873058144696;2.17487794052375;0;0.0443852640923213;1981;181;91;1981;87.9272081668886;8.03373280071016;4.03905903240124;87.9272081668886;513.570087917443;439.523797751274;1.22804209795171;0.519184497064539;0.00220236501387245;-0.182159708897905;0.237005097294406;0.0201504939056367;1.33238588238161;2.13886797923597;0.0241915903765823;0;59.0333257499961;36.7499602370928;0.0366872708275146;0.360108549351862;0.321160507225844;0;0.00331223351174282;0.0241915903765823;0.681269056577706;95.7832859870889;3.47125386161758
M2;30;130;154;4;0;1204;941;7;52;47;0;0;2539;5.1201260338716;6.06538007089405;0.157542339503742;0;47.4202441906262;37.0618353682552;0.275699094131548;2.04805041354864;1.85112248916896;0;0;1846;343;350;1846;72.7057896809768;13.5092556124458;13.7849547065774;72.7057896809768;507.051526460811;441.302101807576;1.23160380314773;0.520840935685163;0.0030780538287669;-0.176862800612006;0.231918944082631;0.0187442275605802;1.66239818347438;2.18719628465673;0.013881563476247;0;59.7600428163169;35.7457457287618;0.0296654719302041;0.309903672551787;0.291166278831953;0;0;0.013881563476247;0.60106995138374;95.5057885450787;3.8495944681311
M2;7;75;292;4;0;715;1017;66;25;56;0;2;2252;3.3303730017762;12.9662522202487;0.177619893428064;0;31.7495559502664;45.1598579040853;2.93072824156306;1.1101243339254;2.4866785079929;0;0.088809946714032;1841;411;0;1841;81.7495559502664;18.2504440497336;0;81.7495559502664;466.653925509769;420.77526071914;1.27227360464505;0.455372288759871;0.00309294198691916;-0.352250201164129;0.239586709084965;0.0351300338370561;1.12975646267368;5.1025720465517;0.0136693335485092;0;35.1685946775419;57.7525661231453;0.390244713035494;0.116514131759637;0.319290843444702;0;0.00679166829911782;0.0136693335485092;0.435804975204338;92.9211608006872;6.23232850922538
