"","Epi0","Epi4","Epi7","Epi16","Epi21","Epi31","Epi92","Epi183","Meso0","Meso4","Meso7","Meso16","Meso21","Meso31","Meso92","Meso183","Bathy0","Bathy4","Bathy7","Bathy16","Bathy21","Bathy31","Bathy92","Bathy183"
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Polaribacter.4",5.5,92.625,53.625,2.75,6,16.25,14.875,7,0,0,0.5,9.125,18.875,5.875,22,5.25,0,0,0,3.25,9.75,1.75,11.25,1.5
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Alteromonadaceae_Alteromonas.1",0,0,1.376811594,4.420289855,27.31884058,3.695652174,1.15942029,0,7.6811594205,1.6666666665,5.144927536,4.347826087,6.4492753625,16.95652174,7.391304348,1.0869565215,2.1739130435,0,0,0,0,1.884057971,0,1.231884058
"Bacteria_Bacteroidetes_Cytophagia_Cytophagales_Flammeovirgaceae_Marinoscillum",0,0,0,0,0,0,5.51724138,15.948275862,0,0,0,0,0,0,0,154.137931,0.2586206895,0,0,0,0,0,1.4655172415,38.103448275
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Cryomorphaceae_Fluviicola",0,0,0,133,128,103,0,0,0,0,0,63.5,41,79.75,0,0,0,0,0.5,13.75,15.25,48.25,0,0
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Loktanella.1",0,0,0,4.814814815,8.333333333,21.66666667,15.7407407395,8.5185185185,0,0,0,18.88888889,50.37037037,126.11111111,0,0,0,0,0,36.85185185,82.96296295,71.85185185,6.11111111,7.77777778
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_SAR86_clade_NA.1",39.347826085,20.65217391,35.108695655,16.630434785,33.91304348,26.63043478,0,3.5869565215,14.45652174,0,2.173913043,2.391304348,5.3260869565,8.043478261,0,0,8.586956522,0,0,0,0.652173913,0,0,0
"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Surface_1_NA",10,0,0,0,0,0,0,0,302,4.5,0,0,17,6,0,0,346,9.5,8,0,0,0,0,0
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,62.7777778,309.62962965,18.333333335,24.25925926
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_ZD0405_NA.2",0,0,0,0,0,0,0,0,49.565217395,4.8913043475,7.3913043475,0,1.304347826,0,0,0,49.45652174,0,2.1739130435,0,0,0,0,0
"Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonadales_Nitrosomonadaceae_Nitrosomonas.1",0,0,0,0,0,0,26,161,16.5,0,0,0,0,0,71,85,10.5,0,0,0,0,0,75,165.5
"Bacteria_Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales_Verrucomicrobiaceae_Roseibacillus.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8333333335,0,0,0,0,0,0,271.16666665,117.16666665
"Bacteria_Verrucomicrobia_Opitutae_Opitutales_Opitutaceae_Opitutus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.5,139
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_SAR86_clade_NA.2",67.39130435,49.130434785,70.97826087,4.782608696,13.804347825,11.8478260855,0,0,3.5869565215,0,0.4347826085,1.52173913,1.956521739,2.5,0,0,0,0,0,0.9782608695,1.739130435,0,0,0
"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_BAL58_marine_group",0,0,0,0,0.857142857,12,46.14285714,44.142857145,0,0,0,0,0,0,0,17.142857145,0,0,0,0,0,0.7142857145,11,31.28571429
"Bacteria_Proteobacteria_Gammaproteobacteria_BD7.8_marine_group_NA_NA",0,0,0,4.4444444445,26.34920635,103.730158735,12.063492064,2.142857143,0,0,0,0,0.634920635,0,9.365079365,2.619047619,0,0,0,0,0,0,4.523809524,5.9523809525
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Alteromonadaceae_Alteromonas.2",0.579710145,2.536231884,2.3188405795,6.449275362,26.88405797,0,0,0,9.4927536225,1.7391304345,2.68115942,6.0144927535,3.768115942,12.8985507255,4.782608696,0,0,0,0,2.1014492755,2.1739130435,4.420289855,1.231884058,0
"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Surface_1_Candidatus_Pelagibacter.6",199,0,36,103,134,76,99,78.5,83.5,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_NS2b_marine_group",127.08333332,38.33333333,35.694444445,0,0,0,0,0,1.25,0,0,0,0,0,0,0,10.8333333355,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Alcanivoracaceae_Alcanivorax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.16666665,332.70833335
"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Surface_1_Candidatus_Pelagibacter.7",138.5,0,0,112,111.5,126,158,203,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Surface_1_NA.1",117,7,17,73,56.5,71,56,41.5,137,0,0,0,0,15.5,25,0,168.5,0,0,0,0,0,0,5.5
"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Surface_2_NA",33.5,0,16.5,78.5,66,50.5,83.5,111,125,0,16,0,0,15,0,0,135,0,0,0,0,0,0,0
